30016	25929	30922	33431	32745
31736	30108	28233	25655	26815
29999	26904	33146	26332	33356
31857	32879	29127	26126	26079
33167	31494	28957	30397	27018
29804	32956	32866	27102	27566
31365	31799	30352	26407	31143
32014	26575	28778	33320	31411
26908	29733	33685	26560	32886
31905	33592	31288	32536	27925
25941	28662	25933	30021	28618
30510	33391	31912	26581	29879
29091	29274	26728	25672	25707
30324	31240	32131	31949	30868
33074	29513	25681	27575	29328
32778	26736	31794	33685	33064
32815	27666	27701	31161	28771
30823	32285	32366	28689	29500
28726	33875	27023	25821	30339
26069	29906	29839	33789	32655
